folder,path,version,port,module,class,def,counts,missing
micropython-v1_16-esp32,..\repos\micropython-stubs\stubs\micropython-v1_16-esp32,1.16,esp32,0.52,0.6,0.11,"{'def': 2094, 'class': 379, 'module': 150}","{'module': 72, 'class': 150, 'def': 1854}"
micropython-v1_16-esp8266,..\repos\micropython-stubs\stubs\micropython-v1_16-esp8266,1.16,esp8266,0.51,0.61,0.11,"{'def': 2021, 'class': 360, 'module': 149}","{'module': 73, 'class': 141, 'def': 1799}"
micropython-v1_16-frozen,..\repos\micropython-stubs\stubs\micropython-v1_16-frozen,1.16,frozen,0.17,0.17,0.32,"{'def': 3692, 'class': 580, 'module': 440}","{'module': 365, 'class': 479, 'def': 2502}"
micropython-v1_16-pyboard,..\repos\micropython-stubs\stubs\micropython-v1_16-pyboard,1.16,pyboard,0.52,0.78,0.11,"{'def': 2450, 'class': 689, 'module': 116}","{'module': 56, 'class': 155, 'def': 2186}"
micropython-v1_17-docstubs,..\repos\micropython-stubs\stubs\micropython-v1_17-docstubs,1.17,docstubs,1.0,0.95,0.97,"{'def': 771, 'class': 107, 'module': 47}","{'module': 0, 'class': 5, 'def': 25}"
micropython-v1_17-esp32,..\repos\micropython-stubs\stubs\micropython-v1_17-esp32,1.17,esp32,0.52,0.6,0.11,"{'def': 2108, 'class': 381, 'module': 150}","{'module': 72, 'class': 151, 'def': 1866}"
micropython-v1_17-esp32-merged,..\repos\micropython-stubs\stubs\micropython-v1_17-esp32-merged,1.17,esp32,0.83,0.83,0.51,"{'def': 1796, 'class': 325, 'module': 148}","{'module': 25, 'class': 54, 'def': 878}"
micropython-v1_17-esp8266,..\repos\micropython-stubs\stubs\micropython-v1_17-esp8266,1.17,esp8266,0.51,0.61,0.11,"{'def': 2021, 'class': 360, 'module': 149}","{'module': 73, 'class': 141, 'def': 1799}"
micropython-v1_17-esp8266-merged,..\repos\micropython-stubs\stubs\micropython-v1_17-esp8266-merged,1.17,esp8266,0.8,0.82,0.44,"{'def': 1729, 'class': 297, 'module': 147}","{'module': 29, 'class': 53, 'def': 971}"
micropython-v1_17-frozen,..\repos\micropython-stubs\stubs\micropython-v1_17-frozen,1.17,frozen,0.29,0.31,0.4,"{'def': 1800, 'class': 294, 'module': 214}","{'module': 153, 'class': 202, 'def': 1072}"
micropython-v1_17-rp2,..\repos\micropython-stubs\stubs\micropython-v1_17-rp2,1.17,rp2,0.53,0.61,0.03,"{'def': 1522, 'class': 317, 'module': 102}","{'module': 48, 'class': 123, 'def': 1480}"
micropython-v1_17-rp2-merged,..\repos\micropython-stubs\stubs\micropython-v1_17-rp2-merged,1.17,rp2,0.86,0.84,0.43,"{'def': 1244, 'class': 248, 'module': 100}","{'module': 14, 'class': 39, 'def': 712}"
micropython-v1_17-stm32,..\repos\micropython-stubs\stubs\micropython-v1_17-stm32,1.17,stm32,0.53,0.77,0.11,"{'def': 2500, 'class': 695, 'module': 118}","{'module': 56, 'class': 158, 'def': 2230}"
micropython-v1_17-stm32-merged,..\repos\micropython-stubs\stubs\micropython-v1_17-stm32-merged,1.17,stm32,0.88,0.93,0.6,"{'def': 2176, 'class': 629, 'module': 116}","{'module': 14, 'class': 41, 'def': 872}"
micropython-v1_18-docstubs,..\repos\micropython-stubs\stubs\micropython-v1_18-docstubs,1.18,docstubs,1.0,0.95,0.97,"{'def': 784, 'class': 107, 'module': 49}","{'module': 0, 'class': 5, 'def': 25}"
micropython-v1_18-esp32,..\repos\micropython-stubs\stubs\micropython-v1_18-esp32,1.18,esp32,0.52,0.6,0.11,"{'def': 2120, 'class': 381, 'module': 152}","{'module': 73, 'class': 151, 'def': 1878}"
micropython-v1_18-esp32-merged,..\repos\micropython-stubs\stubs\micropython-v1_18-esp32-merged,1.18,esp32,0.84,0.84,0.53,"{'def': 1810, 'class': 329, 'module': 150}","{'module': 24, 'class': 54, 'def': 856}"
micropython-v1_18-esp8266,..\repos\micropython-stubs\stubs\micropython-v1_18-esp8266,1.18,esp8266,0.51,0.61,0.11,"{'def': 2021, 'class': 360, 'module': 149}","{'module': 73, 'class': 141, 'def': 1799}"
micropython-v1_18-esp8266-merged,..\repos\micropython-stubs\stubs\micropython-v1_18-esp8266-merged,1.18,esp8266,0.82,0.82,0.44,"{'def': 1731, 'class': 297, 'module': 147}","{'module': 27, 'class': 53, 'def': 963}"
micropython-v1_18-frozen,..\repos\micropython-stubs\stubs\micropython-v1_18-frozen,1.18,frozen,0.29,0.31,0.43,"{'def': 2692, 'class': 457, 'module': 319}","{'module': 226, 'class': 317, 'def': 1547}"
micropython-v1_18-rp2,..\repos\micropython-stubs\stubs\micropython-v1_18-rp2,1.18,rp2,0.53,0.6,0.11,"{'def': 1974, 'class': 349, 'module': 120}","{'module': 56, 'class': 139, 'def': 1750}"
micropython-v1_18-rp2-merged,..\repos\micropython-stubs\stubs\micropython-v1_18-rp2-merged,1.18,rp2,0.9,0.84,0.54,"{'def': 1644, 'class': 288, 'module': 118}","{'module': 12, 'class': 45, 'def': 756}"
micropython-v1_18-stm32,..\repos\micropython-stubs\stubs\micropython-v1_18-stm32,1.18,stm32,0.53,0.83,0.1,"{'def': 1996, 'class': 571, 'module': 114}","{'module': 54, 'class': 97, 'def': 1800}"
micropython-v1_18-stm32-merged,..\repos\micropython-stubs\stubs\micropython-v1_18-stm32-merged,1.18,stm32,0.89,0.94,0.65,"{'def': 2028, 'class': 599, 'module': 114}","{'module': 13, 'class': 38, 'def': 712}"
micropython-v1_19-docstubs,..\repos\micropython-stubs\stubs\micropython-v1_19-docstubs,1.19,docstubs,1.0,0.95,0.97,"{'def': 813, 'class': 109, 'module': 50}","{'module': 0, 'class': 5, 'def': 25}"
micropython-v1_19-frozen,..\repos\micropython-stubs\stubs\micropython-v1_19-frozen,1.19,frozen,0.31,0.35,0.45,"{'def': 4146, 'class': 721, 'module': 473}","{'module': 325, 'class': 468, 'def': 2299}"
micropython-v1_19_1-docstubs,..\repos\micropython-stubs\stubs\micropython-v1_19_1-docstubs,1.19.1,docstubs,1.0,0.95,0.97,"{'def': 813, 'class': 109, 'module': 50}","{'module': 0, 'class': 5, 'def': 25}"
micropython-v1_19_1-esp32,..\repos\micropython-stubs\stubs\micropython-v1_19_1-esp32,1.19.1,esp32,0.51,0.21,0.1,"{'def': 1890, 'class': 260, 'module': 152}","{'module': 74, 'class': 205, 'def': 1694}"
micropython-v1_19_1-esp32-merged,..\repos\micropython-stubs\stubs\micropython-v1_19_1-esp32-merged,1.19.1,esp32,0.84,0.73,0.58,"{'def': 1934, 'class': 305, 'module': 150}","{'module': 24, 'class': 82, 'def': 806}"
micropython-v1_19_1-esp32-s3,..\repos\micropython-stubs\stubs\micropython-v1_19_1-esp32-s3,1.19.1,esp32,1.0,0.33,0.11,"{'def': 1027, 'class': 167, 'module': 75}","{'module': 0, 'class': 112, 'def': 919}"
micropython-v1_19_1-esp32-S3-merged,..\repos\micropython-stubs\stubs\micropython-v1_19_1-esp32-S3-merged,1.19.1,esp32,1.0,0.79,0.59,"{'def': 974, 'class': 178, 'module': 74}","{'module': 0, 'class': 37, 'def': 396}"
micropython-v1_19_1-esp32-UM_TINYPICO,..\repos\micropython-stubs\stubs\micropython-v1_19_1-esp32-UM_TINYPICO,1.19.1,esp32,0.91,0.87,0.12,"{'def': 1021, 'class': 213, 'module': 79}","{'module': 7, 'class': 28, 'def': 898}"
micropython-v1_19_1-esp32-UM_TINYPICO-merged,..\repos\micropython-stubs\stubs\micropython-v1_19_1-esp32-UM_TINYPICO-merged,1.19.1,esp32,0.91,0.88,0.56,"{'def': 1049, 'class': 232, 'module': 79}","{'module': 7, 'class': 28, 'def': 464}"
micropython-v1_19_1-esp8266,..\repos\micropython-stubs\stubs\micropython-v1_19_1-esp8266,1.19.1,esp8266,0.51,0.09,0.1,"{'def': 1368, 'class': 148, 'module': 118}","{'module': 58, 'class': 134, 'def': 1236}"
micropython-v1_19_1-esp8266-merged,..\repos\micropython-stubs\stubs\micropython-v1_19_1-esp8266-merged,1.19.1,esp8266,0.89,0.78,0.59,"{'def': 1412, 'class': 178, 'module': 118}","{'module': 13, 'class': 40, 'def': 572}"
micropython-v1_19_1-frozen,..\repos\micropython-stubs\stubs\micropython-v1_19_1-frozen,1.19.1,frozen,0.31,0.35,0.45,"{'def': 4146, 'class': 721, 'module': 473}","{'module': 325, 'class': 468, 'def': 2299}"
micropython-v1_19_1-rp2,..\repos\micropython-stubs\stubs\micropython-v1_19_1-rp2,1.19.1,rp2,0.52,0.32,0.12,"{'def': 1992, 'class': 373, 'module': 142}","{'module': 68, 'class': 254, 'def': 1758}"
micropython-v1_19_1-rp2-merged,..\repos\micropython-stubs\stubs\micropython-v1_19_1-rp2-merged,1.19.1,rp2,0.84,0.65,0.54,"{'def': 1974, 'class': 395, 'module': 140}","{'module': 22, 'class': 137, 'def': 902}"
micropython-v1_19_1-rp2_simple,..\repos\micropython-stubs\stubs\micropython-v1_19_1-rp2_simple,1.19.1,rp2_simple,0.53,0.26,0.1,"{'def': 1357, 'class': 195, 'module': 105}","{'module': 49, 'class': 144, 'def': 1222}"
micropython-v1_19_1-stm32,..\repos\micropython-stubs\stubs\micropython-v1_19_1-stm32,1.19.1,stm32,0.51,0.65,0.1,"{'def': 2087, 'class': 549, 'module': 115}","{'module': 56, 'class': 194, 'def': 1888}"
micropython-v1_19_1-stm32-merged,..\repos\micropython-stubs\stubs\micropython-v1_19_1-stm32-merged,1.19.1,stm32,0.89,0.9,0.64,"{'def': 2088, 'class': 573, 'module': 114}","{'module': 12, 'class': 60, 'def': 754}"
micropython-v1_20_0-docstubs,..\repos\micropython-stubs\stubs\micropython-v1_20_0-docstubs,1.20.0,docstubs,1.0,0.95,0.97,"{'def': 823, 'class': 108, 'module': 50}","{'module': 0, 'class': 5, 'def': 24}"
micropython-v1_20_0-esp32,..\repos\micropython-stubs\stubs\micropython-v1_20_0-esp32,1.20.0,esp32,0.52,0.21,0.1,"{'def': 1908, 'class': 262, 'module': 158}","{'module': 76, 'class': 206, 'def': 1710}"
micropython-v1_20_0-esp32-merged,..\repos\micropython-stubs\stubs\micropython-v1_20_0-esp32-merged,1.20.0,esp32,0.84,0.73,0.61,"{'def': 1966, 'class': 306, 'module': 158}","{'module': 25, 'class': 84, 'def': 764}"
micropython-v1_20_0-esp32-OTA,..\repos\micropython-stubs\stubs\micropython-v1_20_0-esp32-OTA,1.20.0,esp32,0.52,0.21,0.1,"{'def': 1908, 'class': 262, 'module': 158}","{'module': 76, 'class': 206, 'def': 1710}"
micropython-v1_20_0-esp32-OTA-merged,..\repos\micropython-stubs\stubs\micropython-v1_20_0-esp32-OTA-merged,1.20.0,esp32,0.84,0.73,0.61,"{'def': 1966, 'class': 306, 'module': 158}","{'module': 25, 'class': 84, 'def': 764}"
micropython-v1_20_0-esp32-S3,..\repos\micropython-stubs\stubs\micropython-v1_20_0-esp32-S3,1.20.0,esp32,0.52,0.22,0.1,"{'def': 1896, 'class': 263, 'module': 156}","{'module': 75, 'class': 204, 'def': 1700}"
micropython-v1_20_0-esp32-S3-merged,..\repos\micropython-stubs\stubs\micropython-v1_20_0-esp32-S3-merged,1.20.0,esp32,0.85,0.72,0.61,"{'def': 1944, 'class': 303, 'module': 156}","{'module': 24, 'class': 84, 'def': 766}"
micropython-v1_20_0-frozen,..\repos\micropython-stubs\stubs\micropython-v1_20_0-frozen,1.20.0,frozen,0.15,0.15,0.32,"{'def': 18676, 'class': 2959, 'module': 2019}","{'module': 1711, 'class': 2517, 'def': 12774}"
micropython-v1_20_0-rp2,..\repos\micropython-stubs\stubs\micropython-v1_20_0-rp2,1.20.0,rp2,0.54,0.52,0.11,"{'def': 1518, 'class': 339, 'module': 116}","{'module': 53, 'class': 164, 'def': 1354}"
micropython-v1_20_0-rp2-merged,..\repos\micropython-stubs\stubs\micropython-v1_20_0-rp2-merged,1.20.0,rp2,0.91,0.81,0.57,"{'def': 1546, 'class': 363, 'module': 116}","{'module': 11, 'class': 69, 'def': 660}"
micropython-v1_20_0-rp2-PICO,..\repos\micropython-stubs\stubs\micropython-v1_20_0-rp2-PICO,1.20.0,rp2,0.54,0.52,0.11,"{'def': 1518, 'class': 339, 'module': 116}","{'module': 53, 'class': 164, 'def': 1354}"
micropython-v1_20_0-rp2-PICO-merged,..\repos\micropython-stubs\stubs\micropython-v1_20_0-rp2-PICO-merged,1.20.0,rp2,0.91,0.81,0.57,"{'def': 1546, 'class': 363, 'module': 116}","{'module': 11, 'class': 69, 'def': 660}"
micropython-v1_20_0-rp2-PICO_W,..\repos\micropython-stubs\stubs\micropython-v1_20_0-rp2-PICO_W,1.20.0,rp2,0.54,0.51,0.1,"{'def': 1748, 'class': 365, 'module': 138}","{'module': 64, 'class': 178, 'def': 1570}"
micropython-v1_20_0-rp2-PICO_W-merged,..\repos\micropython-stubs\stubs\micropython-v1_20_0-rp2-PICO_W-merged,1.20.0,rp2,0.88,0.8,0.56,"{'def': 1776, 'class': 389, 'module': 138}","{'module': 17, 'class': 77, 'def': 780}"
micropython-v1_20_0-rp2-PIMORONI_PICOLIPO_16MB,..\repos\micropython-stubs\stubs\micropython-v1_20_0-rp2-PIMORONI_PICOLIPO_16MB,1.20.0,rp2,0.54,0.42,0.11,"{'def': 1518, 'class': 285, 'module': 116}","{'module': 53, 'class': 164, 'def': 1354}"
micropython-v1_20_0-rp2-PIMORONI_PICOLIPO_16MB-merged,..\repos\micropython-stubs\stubs\micropython-v1_20_0-rp2-PIMORONI_PICOLIPO_16MB-merged,1.20.0,rp2,0.91,0.78,0.57,"{'def': 1546, 'class': 309, 'module': 116}","{'module': 11, 'class': 69, 'def': 660}"
micropython-v1_20_0-samd-ADAFRUIT_FEATHER_M4_EXPRESS,..\repos\micropython-stubs\stubs\micropython-v1_20_0-samd-ADAFRUIT_FEATHER_M4_EXPRESS,1.20.0,samd,0.52,0.61,0.11,"{'def': 1426, 'class': 377, 'module': 102}","{'module': 49, 'class': 148, 'def': 1276}"
micropython-v1_20_0-samd-ADAFRUIT_FEATHER_M4_EXPRESS-merged,..\repos\micropython-stubs\stubs\micropython-v1_20_0-samd-ADAFRUIT_FEATHER_M4_EXPRESS-merged,1.20.0,samd,0.88,0.85,0.56,"{'def': 1454, 'class': 401, 'module': 102}","{'module': 12, 'class': 60, 'def': 646}"
micropython-v1_20_0-samd-ADAFRUIT_ITSYBITSY_M4_EXPRESS,..\repos\micropython-stubs\stubs\micropython-v1_20_0-samd-ADAFRUIT_ITSYBITSY_M4_EXPRESS,1.20.0,samd,0.52,0.58,0.11,"{'def': 1426, 'class': 351, 'module': 102}","{'module': 49, 'class': 148, 'def': 1276}"
micropython-v1_20_0-samd-ADAFRUIT_ITSYBITSY_M4_EXPRESS-merged,..\repos\micropython-stubs\stubs\micropython-v1_20_0-samd-ADAFRUIT_ITSYBITSY_M4_EXPRESS-merged,1.20.0,samd,0.88,0.84,0.56,"{'def': 1454, 'class': 375, 'module': 102}","{'module': 12, 'class': 60, 'def': 646}"
micropython-v1_20_0-samd-MINISAM_M4,..\repos\micropython-stubs\stubs\micropython-v1_20_0-samd-MINISAM_M4,1.20.0,samd,0.52,0.56,0.11,"{'def': 1426, 'class': 333, 'module': 102}","{'module': 49, 'class': 148, 'def': 1276}"
micropython-v1_20_0-samd-MINISAM_M4-merged,..\repos\micropython-stubs\stubs\micropython-v1_20_0-samd-MINISAM_M4-merged,1.20.0,samd,0.88,0.83,0.56,"{'def': 1454, 'class': 357, 'module': 102}","{'module': 12, 'class': 60, 'def': 646}"
micropython-v1_20_0-samd-SEEED_WIO_TERMINAL,..\repos\micropython-stubs\stubs\micropython-v1_20_0-samd-SEEED_WIO_TERMINAL,1.20.0,samd,0.52,0.71,0.11,"{'def': 1426, 'class': 519, 'module': 102}","{'module': 49, 'class': 148, 'def': 1276}"
micropython-v1_20_0-samd-SEEED_WIO_TERMINAL-merged,..\repos\micropython-stubs\stubs\micropython-v1_20_0-samd-SEEED_WIO_TERMINAL-merged,1.20.0,samd,0.88,0.89,0.56,"{'def': 1454, 'class': 543, 'module': 102}","{'module': 12, 'class': 60, 'def': 646}"
micropython-v1_20_0-stm32,..\repos\micropython-stubs\stubs\micropython-v1_20_0-stm32,1.20.0,stm32,0.53,0.66,0.09,"{'def': 2034, 'class': 539, 'module': 118}","{'module': 56, 'class': 184, 'def': 1844}"
micropython-v1_20_0-stm32-merged,..\repos\micropython-stubs\stubs\micropython-v1_20_0-stm32-merged,1.20.0,stm32,0.9,0.9,0.65,"{'def': 2066, 'class': 563, 'module': 118}","{'module': 12, 'class': 58, 'def': 720}"
micropython-v1_20_0-stm32-PYBV11,..\repos\micropython-stubs\stubs\micropython-v1_20_0-stm32-PYBV11,1.20.0,stm32,0.53,0.66,0.09,"{'def': 2034, 'class': 539, 'module': 118}","{'module': 56, 'class': 184, 'def': 1844}"
micropython-v1_20_0-stm32-PYBV11-merged,..\repos\micropython-stubs\stubs\micropython-v1_20_0-stm32-PYBV11-merged,1.20.0,stm32,0.9,0.9,0.65,"{'def': 2066, 'class': 563, 'module': 118}","{'module': 12, 'class': 58, 'def': 720}"
micropython-v1_21_0-docstubs,..\repos\micropython-stubs\stubs\micropython-v1_21_0-docstubs,1.21.0,docstubs,1.0,0.96,0.97,"{'def': 915, 'class': 124, 'module': 55}","{'module': 0, 'class': 5, 'def': 24}"
micropython-v1_21_0-esp32,..\repos\micropython-stubs\stubs\micropython-v1_21_0-esp32,1.21.0,esp32,0.51,0.29,0.1,"{'def': 2220, 'class': 339, 'module': 179}","{'module': 87, 'class': 242, 'def': 1988}"
micropython-v1_21_0-esp32-ESP32_GENERIC,..\repos\micropython-stubs\stubs\micropython-v1_21_0-esp32-ESP32_GENERIC,1.21.0,esp32,0.51,0.29,0.1,"{'def': 2220, 'class': 339, 'module': 179}","{'module': 87, 'class': 242, 'def': 1988}"
micropython-v1_21_0-esp32-ESP32_GENERIC-merged,..\repos\micropython-stubs\stubs\micropython-v1_21_0-esp32-ESP32_GENERIC-merged,1.21.0,esp32,0.83,0.7,0.58,"{'def': 2236, 'class': 377, 'module': 174}","{'module': 30, 'class': 112, 'def': 950}"
micropython-v1_21_0-esp32-merged,..\repos\micropython-stubs\stubs\micropython-v1_21_0-esp32-merged,1.21.0,esp32,0.83,0.7,0.58,"{'def': 2236, 'class': 377, 'module': 174}","{'module': 30, 'class': 112, 'def': 950}"
micropython-v1_21_0-frozen,..\repos\micropython-stubs\stubs\micropython-v1_21_0-frozen,1.21.0,frozen,0.23,0.15,0.36,"{'def': 19937, 'class': 2989, 'module': 2338}","{'module': 1795, 'class': 2554, 'def': 12856}"
micropython-v1_21_0-rp2-RPI_PICO,..\repos\micropython-stubs\stubs\micropython-v1_21_0-rp2-RPI_PICO,1.21.0,rp2,0.54,0.53,0.11,"{'def': 1648, 'class': 402, 'module': 128}","{'module': 59, 'class': 188, 'def': 1464}"
